#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-08-06T15:17:11 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ598732b534e4	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/525/A71&tab:{J/A+A/525/A71/table2}&key:source=J/A+A/525/A71/table2&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/525/A71/table2
#-order=I
#-out=Name
#-out=SpType
#-out=Teff
#-out=e_Teff
#-out=log(g)
#-out=e_log(g)
#-out=[Fe/H]
#-out=e_[Fe/H]
#
#RESOURCE=yCat_35250071
#Name: J/A+A/525/A71
#Title: Atmospheric parameters for 1273 stars (Wu+, 2011)
#Table	J_A_A_525_A71_table2:
#Name: J/A+A/525/A71/table2
#Title: Physical parameters adopted by this work
#Column	Name	(a10)	Stellar identification	[ucd=meta.id;meta.main]
#Column	SpType	(a12)	MK Spectral type	[ucd=src.spType]
#Column	Teff	(I5)	? Effective temperature [NULL integer written as an empty string]	[ucd=phys.temperature.effective]
#Column	e_Teff	(I4)	? Error of effective temperature (1) [NULL integer written as an empty string]	[ucd=stat.error;phys.temperature.effective]
#Column	log(g)	(F5.2)	? Log of the surface gravity	[ucd=phys.gravity]
#Column	e_log(g)	(F5.2)	? Error of the log of the surface gravity (1)	[ucd=stat.error]
#Column	[Fe/H]	(F5.2)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F5.2)	? Error of metallicity (1)	[ucd=stat.error;phys.abund.Fe]
#| |K|K|[cm/s2]|[cm/s2]|[Sun]|[Sun]
#---------|------------|-----|----|-----|-----|-----|-----
Name|SpType|Teff|e_Teff|log(g)|e_log(g)|[Fe/H]|e_[Fe/H]
HD004307  |G2V         | 5803|  32| 4.01| 0.06|-0.26| 0.05
HD004395  |G5          | 5448|  51| 3.39| 0.12|-0.28| 0.10
HD004502  |K1IIe       | 4632|  43| 2.31| 0.15|-0.15| 0.10
HD004614  |G0V         | 5928|  29| 4.33| 0.05|-0.28| 0.05
HD004727  |B5V+...     |15989| 302| 3.80| 0.07|-0.05| 0.07
HD004744  |G8IV        | 4643|  22| 2.46| 0.08|-0.66| 0.05
HD004813  |F7IV-V      | 6197|  33| 4.29| 0.05|-0.13| 0.05
HD004817  |K3Iab:      | 4062|  20| 0.71| 0.12| 0.14| 0.06
HD004963  |K1III       | 4661|  22| 2.32| 0.08|-0.51| 0.05
HD005007  |K1III       | 4546|  23| 2.64| 0.09| 0.04| 0.05
HD005015  |F8V         | 6070|  32| 4.06| 0.06| 0.04| 0.04
HD005234  |K2III       | 4457|  24| 2.18| 0.10|-0.08| 0.06
HD005286  |K1IV        | 4844|  29| 3.47| 0.07| 0.15| 0.06
HD005394  |B0IVe       |33939|1090| 3.38| 0.06| 0.02| 0.04
HD005395  |G8IIIb      | 4890|  26| 2.51| 0.08|-0.41| 0.06
HD005516  |G8III       | 5039|  30| 2.88| 0.08| 0.05| 0.06
HD005750  |F5          | 6330|  47| 4.21| 0.06|-0.42| 0.07
HD005848  |K2II-III    | 4500|  27| 2.28| 0.10| 0.12| 0.06
HD005916  |G8III-IV    | 5015|  40| 2.48| 0.11|-0.71| 0.10
HD006186  |G9III       | 4878|  33| 2.43| 0.10|-0.35| 0.08
HD006203  |K0III       | 4570|  24| 2.31| 0.09|-0.34| 0.06
HD006397  |F4II-III    | 6580|  63| 4.03| 0.09|-0.10| 0.08
HD006461  |G3V         | 5106|  48| 2.45| 0.13|-0.88| 0.12
HD006482  |K0III       | 4790|  30| 2.79| 0.09|-0.09| 0.07
HD006497  |K2III       | 4450|  21| 2.75| 0.09| 0.02| 0.05
HD006582  |G5Vb        | 5397|  35| 4.53| 0.07|-0.79| 0.08
HD006734  |K0IV        | 4985|  36| 3.40| 0.10|-0.53| 0.08
HD006763  |F0III-IV    | 6972|  45| 4.10| 0.05|-0.11| 0.06
HD006805  |K1.5III     | 4576|  20| 2.62| 0.07| 0.10| 0.04
HD006833  |G9III       | 4608|  32| 1.92| 0.12|-0.72| 0.08
HD006834  |F2          | 6416|  48| 4.23| 0.06|-0.61| 0.08
HD006840  |G0          | 6004|  52| 4.01| 0.10|-0.33| 0.08
HD006920  |F8V         | 5944|  43| 3.71| 0.09|-0.04| 0.07
HD007087  |G8.5IIIa    | 4918|  31| 2.34| 0.08|-0.10| 0.07
HD007439  |F5V         | 6422|  46| 4.15| 0.06|-0.29| 0.06
HD007476  |F5V         | 6501|  40| 4.06| 0.05|-0.17| 0.05
HD008207  |K0III       | 4757|  26| 2.66| 0.08| 0.13| 0.06
HD008491  |K0III       | 4802|  27| 2.70| 0.08| 0.05| 0.06
HD008512  |K0III       | 4729|  28| 2.58| 0.09|-0.12| 0.06
HD008705  |K2III       | 4333|  22| 2.36| 0.11|-0.23| 0.06
HD008724  |G5          | 4754|  62| 1.66| 0.21|-1.68| 0.16
HD008890  |F7:Ib-IIvar | 6192|  50| 1.40| 0.09| 0.13| 0.08
HD008949  |K1III       | 4700|  29| 2.67| 0.09| 0.13| 0.06
HD009057  |G9III       | 4967|  30| 2.74| 0.08| 0.06| 0.06
HD009269  |K0IIIvar    | 4779|  31| 2.55| 0.10|-0.22| 0.07
HD009270  |G7IIa       | 5006|  34| 2.26| 0.08|-0.06| 0.08
HD009408  |G9IIIb      | 4844|  31| 2.51| 0.09|-0.30| 0.07
HD009562  |G2IV        | 5819|  45| 3.91| 0.09| 0.17| 0.07
HD009826  |F8V         | 6151|  40| 4.10| 0.07| 0.08| 0.05
HD009856  |K1III       | 4426|  24| 2.08| 0.10|-0.11| 0.06
HD009927  |K3III       | 4371|  21| 2.29| 0.10| 0.12| 0.05
HD010307  |G1.5V       | 5881|  49| 4.29| 0.09| 0.03| 0.08
HD010362  |B7II        |14902| 368| 3.31| 0.12| 0.32| 0.12
HD010476  |K1V         | 5229|  33| 4.58| 0.06| 0.02| 0.06
HD010486  |K2IV        | 4896|  33| 3.39| 0.08| 0.36| 0.06
HD010700  |G8V         | 5394|  34| 4.56| 0.07|-0.47| 0.07
HD010761  |G8III       | 4997|  35| 2.54| 0.09|-0.06| 0.08
HD010780  |K0V         | 5417|  37| 4.63| 0.07| 0.11| 0.07
HD010975  |K0III       | 4889|  31| 2.51| 0.09|-0.22| 0.07
HD011007  |F8V         | 5971|  44| 4.08| 0.08|-0.22| 0.07
HD011503  |A1p...      |10990| 241| 3.70| 0.21| 0.43| 0.14
HD011592  |F5V         | 6328|  47| 4.21| 0.06|-0.34| 0.07
HD011636  |A5V         | 8061|  43| 3.88| 0.04| 0.07| 0.04
HD011749  |K0III       | 4713|  30| 2.44| 0.10|-0.21| 0.07
HD012303  |B8III       |12230| 157| 4.19| 0.05| 0.30| 0.08
HD012339  |G8III       | 5022|  27| 2.51| 0.07|-0.06| 0.06
HD012533  |K3IIb...    | 4319|  18| 1.50| 0.08| 0.04| 0.05
HD012929  |K2III       | 4527|  19| 2.42| 0.07|-0.19| 0.04
HD012953  |A1Iae       |10766| 185| 1.65| 0.05| 0.37| 0.11
HD013475  |B9V+...     | 5122|  74| 2.65| 0.20|-0.31| 0.17
HD013530  |G8III:var   | 4863|  28| 2.72| 0.09|-0.57| 0.06
HD013555  |F5V         | 6432|  26| 4.07| 0.04|-0.19| 0.04
HD013611  |G8Iab:      | 5101|  30| 2.34| 0.08|-0.21| 0.07
HD013974  |G0.5V       | 5711|  37| 4.39| 0.07|-0.42| 0.07
HD014214  |G0.5IV      | 5975| 105| 4.11| 0.23| 0.03| 0.21
HD014489  |A2Ia        |10650| 136| 1.74| 0.04| 0.26| 0.08
HD014625  |G8III       | 4836|  30| 2.84| 0.08| 0.23| 0.06
HD014626  |K0          | 4630|  26| 2.73| 0.09|-0.19| 0.06
HD014770  |G8III       | 5016|  28| 2.55| 0.07|-0.02| 0.06
HD014938  |F5          | 6116|  94| 4.18| 0.16|-0.35| 0.15
HD015318  |B9III       |10055| 158| 3.73| 0.11|-0.43| 0.11
HD015335  |G0V         | 5912|  33| 4.02| 0.06|-0.18| 0.05
HD015596  |G5III-IV    | 4853|  23| 2.85| 0.07|-0.65| 0.05
HD015798  |F5V         | 6470|  47| 4.07| 0.06|-0.15| 0.06
HD015920  |G8III       | 5119|  29| 2.84| 0.07|-0.08| 0.06
HD016458  |G8p...      | 4484|  17| 1.57| 0.06|-0.53| 0.04
HD016673  |F6V         | 6219|  46| 4.29| 0.07|-0.05| 0.06
HD016895  |F7V         | 6247|  35| 4.21| 0.06|-0.04| 0.05
HD017081  |B7IV        |12678| 164| 4.12| 0.05| 0.24| 0.07
HD017361  |K1.5III     | 4670|  20| 2.64| 0.07| 0.05| 0.04
HD017378  |A5Ia        | 8473|  43| 1.20| 0.03| 0.05| 0.06
HD017463  |F5Ib...     | 6919|  50| 3.16| 0.08| 0.31| 0.05
HD017506  |K3Ib...     | 4200|  73| 1.03| 0.31| 0.08| 0.17
HD017548  |F8          | 5990|  27| 4.24| 0.05|-0.59| 0.05
HD017925  |K1V         | 5174|  25| 4.63| 0.05| 0.16| 0.05
HD018296  |B9p...      |12326| 197| 4.02| 0.11| 0.90| 0.08
HD018322  |K1III       | 4642|  20| 2.58| 0.07|-0.12| 0.04
HD018449  |K2III       | 4403|  22| 2.21| 0.10|-0.12| 0.06
HD018474  |G5:III...   | 5038|  49| 2.59| 0.14|-0.28| 0.13
HD018768  |F8          | 5805|  46| 3.89| 0.09|-0.54| 0.08
HD018778  |A7III-IV    | 7763|  68| 3.89| 0.06| 0.06| 0.06
HD019476  |K0III       | 4978|  25| 2.97| 0.06| 0.14| 0.05
HD019510  |F0.5        | 6108|  55| 3.91| 0.09|-2.13| 0.13
HD019656  |K0III       | 4684|  21| 2.33| 0.07|-0.05| 0.05
HD019787  |K2III       | 4869|  24| 2.79| 0.07| 0.10| 0.05
HD019994  |F8V         | 6081|  29| 4.05| 0.05| 0.15| 0.04
HD020084  |G3IIp+...   | 5006|  39| 2.22| 0.11|-0.68| 0.10
HD020123  |G5Iab:      | 5268|  29| 1.59| 0.06|-0.11| 0.07
HD020468  |K2II        | 4387|  25| 1.39| 0.08| 0.04| 0.06
HD020618  |G6IV        | 5093|  26| 3.14| 0.07|-0.25| 0.06
HD020797  |M0Iab:      | 3918|  14| 0.48| 0.08| 0.17| 0.04
HD020893  |K3III       | 4379|  22| 2.29| 0.10| 0.09| 0.05
HD020902  |F5Iab:      | 6490|  13| 1.74| 0.03| 0.14| 0.02
HD022049  |K2V         | 5119|  26| 4.71| 0.05| 0.00| 0.05
HD022211  |G0          | 6018|  49| 3.42| 0.11| 0.20| 0.07
HD022468  |K2:Vnk      | 4748|  50| 3.42| 0.14|-0.16| 0.10
HD022484  |F9IV-V      | 5999|  27| 4.09| 0.05|-0.08| 0.04
HD023183  |G8III       | 4866|  25| 2.51| 0.07|-0.28| 0.06
HD023249  |K0IV        | 5053|  25| 3.79| 0.06| 0.09| 0.05
HD023841  |K1III       | 4338|  19| 2.23| 0.09|-0.56| 0.06
HD024398  |B1Iab:      |24163|2079| 3.27| 0.12|-0.08| 0.07
HD024421  |F5          | 6117|  48| 4.17| 0.08|-0.35| 0.08
HD024760  |B0.5V+...   |26405|1549| 3.85| 0.13|-0.09| 0.10
HD025173  |F8V         | 6018|  36| 4.07| 0.06|-0.55| 0.06
HD025291  |F0II        | 7761|    | 2.49|     | 0.14|
HD025329  |K1V...      | 4840|    | 4.85|     |-1.68|
HD025457  |F5V         | 6228|  44| 4.29| 0.07| 0.04| 0.06
HD025604  |K0III       | 4795|  21| 2.65| 0.06| 0.06| 0.05
HD025621  |F6IV        | 6251|  29| 3.98| 0.05| 0.05| 0.04
HD025642  |A0IVn       |10585| 166| 4.05| 0.07| 0.01| 0.10
HD025940  |B3Ve        |16827| 427| 3.94| 0.08|-0.04| 0.08
HD025975  |K1III       | 4986|  23| 3.47| 0.06| 0.05| 0.05
HD026297  |G5/G6IVw    | 4468|  25| 1.01| 0.09|-1.82| 0.07
HD026574  |F2II-III    | 7132|  42| 3.70| 0.06| 0.21| 0.05
HD026965  |K1V         | 5108|  26| 4.49| 0.05|-0.29| 0.05
HD027022  |G5IIb       | 5321|  29| 2.91| 0.07|-0.05| 0.06
HD027295  |B9IV        |11956|    | 3.92|     |-0.95|
HD027348  |G8III       | 5045|  24| 2.88| 0.06| 0.04| 0.05
HD027371  |K0III       | 5016|  25| 2.84| 0.06| 0.15| 0.05
HD027382  |K1III       | 4501|  19| 2.28| 0.07|-0.36| 0.05
HD027697  |K0III       | 5023|  26| 2.83| 0.07| 0.15| 0.06
HD027971  |K1III       | 4979|  25| 2.90| 0.06| 0.10| 0.05
HD028099  |G2V         | 5815|  31| 4.47| 0.06| 0.21| 0.05
HD028100  |G7IIIa      | 4986|  25| 2.38| 0.07|-0.17| 0.06
HD028292  |K2III       | 4557|  19| 2.66| 0.07|-0.09| 0.04
HD028305  |G9.5III     | 4978|  27| 2.77| 0.07| 0.20| 0.06
HD028307  |K0IIIb      | 5078|  28| 2.97| 0.07| 0.18| 0.06
HD028527  |A6IV        | 7757|  58| 3.85| 0.06| 0.13| 0.05
HD028978  |A2Vs        | 8910|  83| 3.13| 0.09|-0.26| 0.08
HD029139  |K5III       | 3863|   8| 1.73| 0.10|-0.04| 0.04
HD029574  |G8/K0IIIw...| 4306|  34| 0.58| 0.12|-1.90| 0.07
HD029613  |K0III       | 4682|  21| 2.78| 0.07|-0.24| 0.05
HD029645  |G0V         | 5989|  32| 4.03| 0.06| 0.11| 0.05
HD029763  |B3V         |10073| 198| 2.60| 0.07|-0.51| 0.16
HD030562  |F8V         | 5839|  28| 4.03| 0.06| 0.20| 0.04
HD030614  |O9.5Iae     |32591| 806| 3.17| 0.04|-0.10| 0.05
HD030652  |F6V         | 6419|  29| 4.20| 0.04|-0.02| 0.04
HD030739  |A1Vn        | 9457| 128| 4.00| 0.05|-0.20| 0.10
HD030743  |F3/F5V      | 6372|  30| 4.18| 0.04|-0.41| 0.04
HD030812  |K1III       | 4746|  26| 2.58| 0.08|-0.08| 0.06
HD030814  |K0III       | 4926|  24| 2.75| 0.07| 0.03| 0.05
HD030834  |K3III       | 4223|  18| 1.63| 0.10|-0.27| 0.05
HD031295  |A0V         | 8817|  54| 4.20| 0.05|-0.82| 0.10
HD031421  |K2IIIb      | 4498|  20| 2.36| 0.08|-0.25| 0.05
HD031996  |CIIe...     | 3995| 175| 5.38| 0.55|-2.25| 0.72
HD032147  |K3V         | 4617|  21| 4.53| 0.05| 0.17| 0.04
HD032356  |K5II        | 4111|  13| 2.06| 0.10|-0.30| 0.05
HD032736  |CII...      | 4152| 197| 2.18| 1.61|-1.52| 0.90
HD032923  |G4V         | 5674|  27| 4.00| 0.06|-0.22| 0.05
HD033111  |A3III       | 8002|  99| 3.78| 0.12|-0.20| 0.12
HD033256  |F2V         | 6406|  35| 4.13| 0.05|-0.28| 0.05
HD033276  |F2IV        | 7188|  36| 3.75| 0.05| 0.21| 0.04
HD033608  |F5V         | 6428|  34| 4.08| 0.05| 0.18| 0.04
HD033751  |K0          | 4936|  33| 2.85| 0.09| 0.12| 0.07
HD033904  |B9IV:...    |12088| 160| 4.06| 0.06| 0.28| 0.07
HD033959  |A9IV...     | 7500|  52| 3.86| 0.05|-0.02| 0.05
HD034255  |K4Iab:      | 4196|  18| 1.14| 0.09|-0.01| 0.05
HD034334  |K2.5IIIb    | 4214|  19| 2.15| 0.11|-0.43| 0.07
HD034411  |G1.5IV-V    | 5874|  27| 4.21| 0.05| 0.08| 0.04
HD034578  |A5II        | 8570|  59| 2.11| 0.04|-0.19| 0.05
HD034797  |B8/B9IV:    |12580| 172| 4.14| 0.07| 0.62| 0.08
HD034816  |B0.5IV      |29190| 960| 3.91| 0.07|-0.06| 0.05
HD035296  |F8V         | 6162|  27| 4.32| 0.04|-0.02| 0.04
HD035369  |G8III       | 4941|  24| 2.55| 0.07|-0.23| 0.06
HD035410  |G9III-IV    | 4886|  29| 2.84| 0.08|-0.32| 0.06
HD035468  |B2III       |22339| 602| 3.84| 0.05|-0.07| 0.04
HD035497  |B7III       |14226| 196| 3.57| 0.07| 0.20| 0.07
HD035620  |K3IIICN+... | 4206|  17| 1.97| 0.10| 0.15| 0.05
HD036130  |G0          | 5925|  37| 4.21| 0.07| 0.10| 0.05
HD036389  |M2Iab:      | 3716|  11| 0.11| 0.09| 0.16| 0.05
HD036673  |F0Ib        | 7603|  24| 2.05| 0.03| 0.08| 0.03
HD036861  |O8III       |37689| 963| 3.90| 0.06| 0.03| 0.04
HD037043  |O9III       |35006| 969| 3.67| 0.07| 0.05| 0.06
HD037088  |G0          | 5790|  35| 4.26| 0.07| 0.13| 0.05
HD037160  |K0IIIb      | 4815|  23| 2.77| 0.08|-0.57| 0.05
HD037216  |G5          | 5468|  29| 4.63| 0.05| 0.03| 0.05
HD037269  |B9.5V+...   | 6239|  71| 3.97| 0.12| 0.02| 0.09
HD037394  |K1V         | 5328|  27| 4.67| 0.05| 0.21| 0.05
HD037828  |K0          | 4442|  29| 1.14| 0.11|-1.49| 0.08
HD037984  |K1III       | 4480|  22| 2.24| 0.09|-0.45| 0.05
HD037986  |G8/K0IV     | 5502|  38| 4.28| 0.08| 0.33| 0.06
HD038656  |G8III       | 4953|  25| 2.60| 0.07|-0.19| 0.06
HD038674  |K2          | 4069|  18| 1.85| 0.15|-0.47| 0.08
HD038899  |B9IV        |10385| 138| 3.89| 0.05|-0.16| 0.07
HD039003  |G9.5III     | 4678|  20| 2.36| 0.06|-0.02| 0.04
HD039118  |G8III+...   | 4927|  49| 2.01| 0.13|-0.12| 0.12
HD039225  |M1.5II-III  | 3653|   9| 1.35| 0.17|-0.29| 0.07
HD039283  |A2V         | 8856|  68| 4.13| 0.04|-0.36| 0.06
HD039587  |G0V         | 5942|  26| 4.43| 0.05|-0.04| 0.04
HD039801  |M1          | 3626|  10| 0.13| 0.10| 0.09| 0.05
HD039833  |G0III       | 5855|  35| 4.41| 0.07| 0.15| 0.05
HD039853  |K5III       | 3872|  10| 1.61| 0.12|-0.46| 0.06
HD039866  |A2II        | 9427| 129| 2.15| 0.04|-0.34| 0.10
HD040035  |K0III       | 4859|  22| 2.59| 0.06|-0.07| 0.05
HD040111  |B0.5II      |25771|1684| 3.27| 0.08|-0.06| 0.07
HD040136  |F1V         | 6997|  27| 4.08| 0.03|-0.05| 0.03
HD040183  |A2IV+...    | 8774| 131| 3.55| 0.18|-0.11| 0.13
HD040239  |M3II        | 3388|   6| 0.55| 0.10| 0.03| 0.04
HD040460  |K1III       | 4804|  28| 2.53| 0.09|-0.25| 0.07
HD040536  |A6m         | 7836| 120| 3.69| 0.15| 0.38| 0.12
HD040801  |K0II        | 4812|  21| 2.95| 0.07|-0.25| 0.05
HD041117  |B2Iaevar    |23210|2321| 2.85| 0.12|-0.38| 0.15
HD041330  |G0V         | 5873|  27| 4.18| 0.05|-0.20| 0.04
HD041597  |G8III       | 4644|  22| 2.08| 0.08|-0.51| 0.06
HD041636  |G9III       | 4714|  23| 2.55| 0.08|-0.28| 0.05
HD041640  |F5          | 6093|  30| 4.28| 0.05|-0.58| 0.05
HD041692  |B5IV        |16566| 286| 3.64| 0.06| 0.08| 0.05
HD042475  |M1Iab:      | 3874|  18| 0.12| 0.10| 0.18| 0.06
HD042543  |M1Ia-ab     | 3666|  12| 0.20| 0.12| 0.14| 0.06
HD043039  |G8.5IIIb    | 4783|  26| 2.44| 0.08|-0.31| 0.06
HD043042  |F6V         | 6459|  29| 4.16| 0.04| 0.01| 0.04
HD043232  |K1.5III     | 4375|  20| 1.61| 0.08|-0.15| 0.05
HD043247  |B9II-III    |12600| 324| 2.95| 0.11|-0.02| 0.16
HD043318  |F6V         | 6252|  30| 3.99| 0.05|-0.13| 0.04
HD043380  |K2III       | 4557|  22| 2.57| 0.08|-0.01| 0.05
HD043384  |B3Ib        |19771| 779| 2.87| 0.07|-0.14| 0.07
HD043827  |K1III       | 4400|  20| 2.03| 0.08|-0.09| 0.05
HD043947  |F8V         | 5982|  27| 4.29| 0.05|-0.30| 0.04
HD044007  |G5IV:w...   | 4971|  33| 2.28| 0.11|-1.57| 0.08
HD044033  |K3Iab:      | 3796|   7| 1.57| 0.10| 0.01| 0.04
HD044478  |M3III       | 3460|   5| 0.82| 0.09|-0.03| 0.03
HD044537  |M0Iab:      | 3984|  21| 0.31| 0.10| 0.20| 0.06
HD044769  |A5IV        | 7717|  47| 3.84| 0.05|-0.11| 0.06
HD044951  |K3III       | 4384|  19| 2.14| 0.09|-0.30| 0.05
HD045282  |G0          | 5232|  30| 3.03| 0.09|-1.50| 0.06
HD045410  |K0III-IV    | 4964|  25| 3.17| 0.07|-0.18| 0.05
HD045412  |F8Ibvar     | 5987|  30| 1.88| 0.07| 0.13| 0.06
HD045674  |F0          | 7630|  75| 2.05| 0.08| 0.16| 0.07
HD046184  |K1III       | 4375|  21| 2.25| 0.09| 0.06| 0.05
HD046317  |F5          | 6307|  33| 4.21| 0.05|-0.24| 0.05
HD046480  |G8IV-V      | 4917|  27| 3.13| 0.08|-0.53| 0.06
HD046588  |F8V         | 6162|  38| 4.25| 0.06|-0.13| 0.05
HD046687  |CII...      | 3843| 105| 1.39| 1.18|-0.15| 0.46
HD046703  |F7IVw       | 6654|  60| 4.09| 0.06|-0.85| 0.11
HD047105  |A0IV        | 9231| 124| 3.21| 0.08|-0.28| 0.09
HD047205  |K1III+...   | 4766|  22| 3.20| 0.06| 0.18| 0.04
HD047731  |G5Ib        | 5151|  26| 1.32| 0.04|-0.06| 0.06
HD047839  |O7Ve        |40175| 914| 3.93| 0.05| 0.04| 0.04
HD048329  |G8Ib        | 4662|  36| 0.88| 0.05| 0.15| 0.07
HD048432  |K0III       | 4901|  23| 2.84| 0.07|-0.16| 0.05
HD048433  |K1III       | 4531|  20| 2.13| 0.07|-0.17| 0.05
HD048682  |G0V         | 6051|  30| 4.22| 0.05| 0.07| 0.04
HD048737  |F5IV        | 6544|  29| 3.91| 0.04| 0.15| 0.03
HD048781  |K1III       | 4691|  21| 2.31| 0.07|-0.07| 0.05
HD049178  |G0          | 5727|  32| 4.40| 0.06| 0.07| 0.05
HD049368  |S...        | 3562|  14| 0.57| 0.19|-0.05| 0.08
HD049520  |K3III       | 4406|  23| 2.21| 0.10| 0.01| 0.06
HD049732  |F8          | 6361|  38| 4.21| 0.05|-0.62| 0.06
HD050420  |A9III       | 7275|  36| 3.70| 0.04| 0.12| 0.04
HD050692  |G0V         | 5887|  29| 4.29| 0.05|-0.20| 0.05
HD051309  |B3Ib/II     |19990| 714| 3.09| 0.08|-0.04| 0.05
HD051440  |K2III       | 4325|  21| 1.85| 0.11|-0.56| 0.07
HD051530  |F7V         | 6094|  35| 3.96| 0.06|-0.38| 0.05
HD052711  |G4V         | 5898|  31| 4.34| 0.06|-0.13| 0.05
HD054322  |G5          | 5841|  33| 4.44| 0.06| 0.13| 0.05
HD054662  |O7III       |42421|1052| 4.04| 0.05| 0.00| 0.05
HD054717  |F5          | 6442|  34| 4.25| 0.04|-0.42| 0.05
HD054719  |K2III       | 4441|  19| 2.17| 0.08| 0.16| 0.04
HD054810  |K0III       | 4758|  30| 2.63| 0.10|-0.31| 0.07
HD055280  |K2III       | 4692|  23| 2.82| 0.07| 0.05| 0.05
HD055575  |G0V         | 5868|  26| 4.25| 0.05|-0.37| 0.04
HD056986  |F0IV        | 7024|  33| 4.04| 0.04|-0.17| 0.05
HD057264  |G8III       | 4627|  20| 2.46| 0.07|-0.38| 0.05
